"Heute produzierte Räder seien ""nur noch die stange, auf der die geier sitzen"", heißt es im Manifest der Bike Liberation Front. Die passionierten Radbastlerinnen und -bastler sind gegen jede Kommerzialisierung. Ihr Hass gilt dem Auto, dessen ""sakrosankte macht"" die Angst, überfahren zu werden, verbreitet und Radwege als ""artenschutzkorridore im strassenverkehr"" schafft. Das Büchlein regt zum Nachdenken an. Aber auch dazu, die teilweise aggressive Haltung zu hinterfragen. In jedem Fall ist den Autorinnen und Autoren Recht zu geben, wenn sie schreiben:""fahrrad zu fahren ist die huldigung der Intelligenz an die faulheit"".",Drahtesel - Ausgabe 3/2015,2015-09-02
"Der Verlag bahoe books, der von einem anarchistischen Kollektiv betrieben wird, hat zudem Balestrinis »Carbonia« herausgebracht. Die gleichnamige, Ende der dreißiger Jahre von Mussolini gegründete Bergbaustadt auf Sardinien, ist der Dreh- und Angelpunkt einer exem­plarischen Arbeiterbiographie des 20. Jahrhunderts zwischen antifaschistischem Widerstand, den Streikbewegungen der fünfziger Jahre und einem zeitweiligen Leben in Australien. Balestrini leiht als parteiischer Dokumentarist den Bergarbeitern seine Stimme, verdichtet, was er von ihnen erfahren hat, zu einem atemlosen Monolog, in dem es an einer Stelle heißt: »ich habe aus dem Kampf in Carbonia viel gelernt zum Beispiel habe ich gelernt dass wir nur auf unsere eigene Stärke zählen konnten denn wer hat uns denn in Wahrheit geholfen bei unserem Kampf in Carbonia niemand absolut niemand«.
<br /><br />
Bei der abschließenden Gesprächsrunde in der Kunsttankstelle glaubte der Vertreter von bahoe books, wo sonst nur politische Sachtexte erscheinen, betonen zu müssen, dass das Kollektiv sich für Literatur und Kunst eigentlich gar nicht interessiere. Den »ganzen« Balestrini auszuhalten – für manche scheint das nach wie vor eine Zumutung zu sein. Der Meister konterte mit der Feststellung, dass er sich gar nicht als politischer Aktivist verstehe, sondern als literarischer Chronist seiner Zeit. Gegenwärtig schreibe er nur Gedichte, weil er keine Ereignisse sehe, über die zu schreiben sich lohne. Als ein Italiener aus dem Publikum auf die Protestbewegung gegen die Hochgeschwindigkeitsbahnstrecke im piemontesischen Val di Susa verwies, reagierte Balestrini mit der berechtigten Frage, warum er derjenige sein sollte, der das immer machen müsse. Sein Werk jedenfalls ist ein Maßstab für politische Literatur, die diesen Namen verdient und sich ästhetisch auf der Höhe der Zeit bewegt – ein Maßstab, den gerade der deutschsprachige Literaturbetrieb nötig hätte, wo Juli Zeh oder Ulrich Peltzer als Autoren relevanter politischer Literatur gelten.",Junge Welt - Nr.288,2015-12-12
"Nanni Balestrini ist dank verschiedener Übersetzungen seiner Werke auch im deutschen Sprachraum bekannt als Vertreter einer neuen Italienischen Literatur, die in den frühen Sechziger Jahren entstanden ist.
<br /><br />
Nun ist im kleinen Wiener Verlag ""bahoe books"" Balestrinis neustes Buch, das im italienischen Original 2013 bei Bompiani unter dem Titel ""Carbonia - Eravamo tutti comunisti"" erschienen ist.
Diese eigenwillige Übersetzung des Untertitels auf dem vorderen Buchumschlag entspricht durchaus dem Programm des politisch-literarisch äusserst engagierten Verlages.
<br /><br />
Carbonia ist eine 1938 am Reissbrett entworfene Mono-Stadt im wilden Landesinneren der Mittelmeerinsel Sardinien. Sie wurde zum Zwecke der Kohleförderung geplant und errichtet und galt als ein Musterprojekt des faschistischen Italiens. Nach dem 2. Weltkrieg wuchs die Stadt auf 60.000 Einwohner an. In den 1950ern folgten einige harte Streiks und Auseinandersetzungen zwischen den gut organisierten Kumpeln und der Firmenleitung. Mit der Zeit verlor die sardische Kohle jedoch an Bedeutung und sämtliche Minen wurden bis 1971 wieder geschlossen. Heute erinnert in Carbonia ein Bergbaumuseum an den Ursprung der Stadt. Nanni Balestrini setzt dieser Stadt und ihren Kämpfen ein literarisches Denkmal.",Buchhandlung im Volkshaus,2015-12-15
"NEUE BÜCHER VON UND ÜBER BALESTRINI<br />
2015 sind drei Bücher von und über Nanni Balestrini auf Deutsch erschienen: Die Anthologie ""LANDSCHAFTEN DES WORTES"" (Assoziation A), das Langgedicht ""BLACKOUT"" (Klever Verlag) und der Roman ""CARBONA - WIR SIND ALLE KOMMUNISTEN"" (bahoe books). Letzteres dokumentiert 50 Jahre italienische Geschichte aus der Sicht eines Arbeiters und seiner Kämpfe: als Soldat bei der italienischen Marine im Zweiten Weltkrieg, als Partisan, als Zwangsarbeiter in deutschen SS-Lagern, als Bergarbeiter in der sardischen Kohle-Stadt Carbonia, wo in den 50ern erfolgreiche Massenstreiks stattfanden, sowie als Elektriker im Italien der 70er Jahre, engagiert in Hausbesetzungen und Teil der ""Recht auf Wohnen""-Bewegung.
<br /><br />
""bahoe books"" haben das wichtige politische Zeitdokument nun auf Deutsch und Griechisch übersetzt. Ein Muss für alle, die an politischer Auseinandersetzung interessiert sind! ",Augustin - Nr. 405,2016-01-20
"Mit der ""Strategie der Spannung"" versuchte in den 1970er-Jahren der italienische Geheimdienst gemeinsam mit Rechtsextremisten, die wachsende Linke zu diskreditieren, indem terroristische Anschläge inszeniert und Anarchisten in die Schuhe geschoben wurden. 1975 brachten drei heute bekannte italienische Comicautoren (darunter der Erotik-Experte Milo Manara) eine Graphic Novel heraus, deren Ziel es war, die Hintergründe des fatalen Mailänder Bombenattentats von 1969 ins richtige Licht zu rücken. Der kleine Wiener Polit-Verlag Bahoe Books hat das Buch erstmals in deutscher Sprache herausgebracht. Ein echtes Fundstück.",derstandard.at - Ansichtsache,2016-01-20
"Zum Jahrestag des Februaraufstands 1934 wird das Linolschnitt-Comic <i style=""font-style:italic;"">Als die Nacht begann</i> von Thomas Fatzinek neu aufgelegt. Davor hat kein Verlag die antifaschistischen Bildgeschichten des Wiener Künstlers gedruckt [...]
<br /><br />
[...] Nun hat der linke Wiener Kleinverlag Bahoe Books <i style=""font-style:italic;"">Als die Nacht begann</i> anlässlich des – wenn auch unrunden – Jahrestages der Februarkämpfe neu aufgelegt. Und damit ein kleines Juwel aus der Versenkung geholt. [...]
<br /><br />
[...] Dass erstmals ein Verlag an ihn herangetreten ist, gibt ihm neuen Antrieb. Weitere Veröffentlichungen bei Bahoe Books sind in Planung. Vielleicht gelingt es ihm aber auch, auf der neuen deutschen Welle an historischen Graphic Novels mitzureiten – ein Trend, dem Fatzinek lang voraus war. Wie auch immer, fügt der „Gschichtldrucker“ mit einem Augenzwinkern hinzu: „Spätestens posthum kommt's retour.“ So wie bei vielen Widerstandskämpfern, die erst lange nach ihrem Tod rehabilitiert wurden.",derstandard.at - Pictotop: Der Comic-Blog,2016-02-12
"Der Wiener Verlag Bahoe Books hat mit Thomas Fatzineks ""Als die Nacht begann"" und ""Die Strategie der Spannung"" von Alfredo Castelli, Mario Gomboli & Milo Manara nun auch Comics ins Programm genommen. Passend zum sonstigen Verlagsprogramm stehen auch hier Themen linker Politik im Mittelpunkt: ""Als die Nacht begann"" behandelt den Aufstand der paramilitärischen Truppe der Sozialdemokraten in Österreich, dem Schutzbund, im Februar 1934 in Wien. Die Seiten wurden nicht mit Stift und Tusche oder am Computer erstellt, sondern entstanden als Holzschnitte, womit Fatzinek sich sowohl inhaltlich wie auch seitens der Umsetzung in die Tradition von Bilderzählern wie Frans Masereel oder Otto Nückel einreiht. [...]",Blog: dreimalalles.info,2016-02-13
"2015 sind drei Bücher von und über Nanni Balestrini auf Deutsch erschienen: Die Anthologie ""Landschaften des Wortes"" (Assoziation A), das Langgedicht ""Blackout"" (Klever Verlag) und der Roman ""Carbonia - Wir sind alle Kommunisten"" (bahoe books). Letzteres dokumentiert 50 Jahre italienische Geschichte aus der Sicht eines Arbeiters und seiner Kämpfe: Als Soldat bei der italienischen Marine im Zweiten Weltkrieg, als Partisan, als Zwangsarbeiter in deutschen SS-Lagern, als Bergarbeiter in der sardischen Kohle-Stadt Carbonia, wo in den 50ern erfolgreiche Massenstreiks stattfanden sowie als Elektriker im Italien der 70er Jahre, engagiert in Hausbesetzungen und Teil der ""Recht auf Wohnen""-Bewegung. Das Buch ist 2012 auf Italienisch erschienen. Darüber dass es erst so spät erschienen ist sagt Balestrini im Interview: ""Ich hatte das Buch schon in den 70ern im Kopf geschrieben aber nie zu Papier gebracht - Ich dachte damals, dass noch etwas kommt und ich das Buch erst dann fertig schreibe. Aber leider kam dann nichts mehr. Deshalb erscheint das Buch erst jetzt.""
<br /><br />
Bahoe books haben das wichtige politische Zeitdokument nun auf Deutsch und Griechisch übersetzt. Mehr Infos:
https://www.bahoebooks.net (Anmerkung: Die Website wurde geändert und aktualisiert - im Artikel steht die alte Website!)",Ausgabe: MALMOE 74,2016-03-01
"Das war die Ansage, die <strong>Francisco Sabaté Lloparte </strong>(1915-1960) seinen Gegnern entgegenschleuderte: “Ich bin El Quico!”
<br /><br />
<strong>Antonio Téllez Solá</strong> (1921-2005) ist der unumstrittene Fachmann auf dem Gebiet des anti-franquistischen Widerstandes nach 1939, nach dem Ende des verlorengegangenen Spanischen Krieges um die Vorherrschaft im Land. Seine Biographie über Sabaté erschien 1972 und in deutscher Übersetzung erstmals 1974 im Trikont Verlag.<br />
Das Besondere an diesem Widerstand war, dass Hitler und Moussolini gefällt wurden, aber unter Aussicht auf einen neuen Krieg mit der Sovjet-Union (Kalter Krieg) Franco als “Waffenbruder” weiterregieren durfte – mit der Kollaboration der sogenannten Demokratien in Europa.<br />
Gerade das durch den Faschismus so geschlagene und getretene Frankreich tat sich damit hervor, Flüchtlinge aus Spanien in Konzentrationslagern gefangen zu halten, als Kanonfutter zu verwenden oder mit Zwangsarbeit für ihr Dasein zu bestrafen.
<br /><br />
Franco ist für Europa eine faschistische Kontinuität, die sich irgendwie in Wohlgefallen aufgelöst zu haben scheint: Es juckt keinen mehr, dass ein faschistisches Regime unter den scheinbaren Vorzeigedemokratien der Welt seinen beschaulichen Platz fand und diese jener Diktatur in vielen Fällen bereitwillig halfen, der Verfolgten letztendlich doch noch habhaft zu werden.
<br /><br />
Der Autor beschreibt aber kein schwarz/weiß Bild der damaligen Zeit, sondern steht jeder Beschönigung der libertären Bewegung, der hauptsächlichen Widerstandsbewegung gegen den Franco-Faschismus, fern. So nennt er innere Querelen, Widersprüche in Organisation und Taktik und letztendlich auch Verrat und Denunziation, auf dass diese Vorgänge einen Platz im Bewusstsein der Interessierten finden und in Zukunft vermieden werden können – vermieden werden müssen, denn diese Vorgänge, wie Machtkämpfe und intrigante Eitelkeiten gaben den Faschisten direkten Vorschub.
<br /><br />
Unbequem, spannend und lehrreich ist das Buch von Antonio Téllez und zum Anlass der neulich entdeckten Neuauflage, möchte ich es hier nochmals dem geneigten Leser empfehlen:
<br /><br />
2015 brachte der Wiener Verlag Bahoe Books Antonio Téllez Solá “Sabaté. Ein aussergewöhnlicher Guerillero” neu heraus und erwies damit dem seriösen Teil der deutschsprachigen, libertären Bewegung einen großen Dienst. Die Ausgabe wurde mit einem einführenden Text von Alexandre Froidevaux ergänzt, in dem dieser die Ereignisse des Bürgerkrieges und des Franco-Regimes zusammenfasst. Der Band ist handlich, angenehm zu lesen und die Umschlaggestaltung interesseweckend. Eine gelungene Neuauflage!
<br /><br />
Die Geschichte hat aber noch viel mehr Lehrreiches zu bieten und wenn wir gerade schonmal beim Thema sind, möchte ich mir erlauben den Verlag anzufragen, wie wahrscheinlich die Deutschübersetzung und Neuauflage des Téllez-Buches “FACERÍAS Urban Guerrilla Warfare (1939-1957). The Libertarian Movement’s Struggle against Francoism in Spain and in Exile” wohl wäre?",Blog: syndikalismusforschungmf.wordpress.com,2016-03-10
"Im Herbst 2015 publizierte die BUNĂ einen Aufkleber, um an Francesc Sabaté zu erinnern. Der spanische Anarchist, Syndikalist und antifranquistische Widerstandskämpfer Francesc Sabaté Llopart wäre 2015 100 Jahre alt geworden. In Spanien ist er ein lebendiges Symbol für einen konsequenten anarchistischen Kampf gegen die Organe der Unterdrückung und den Faschismus. In Deutschland wurde sein 100. Geburtstag von der libertären und antifaschistischen Bewegung leider kaum beachtet. Für uns ist dieser Umstand ein wichtiger Grund an den Menschen und Kämpfer zu erinnern. Diesem Ziel dient der zweisprachige, in deutsch und rumänisch gehaltene Aufkleber, den wir auch dieser Ausgabe beilegen.
<br /><br />
Sabate wurde am 30. März 1915 in der katalanischen Stadt L’Hospitalet de Llobregat in einer Arbeiterfamilie geboren. Schon früh lehnte er sich gegen Ungerechtigkeiten und vom Bürgertum als „Autoritäten“ begriffene Machtmenschen auf. So wehrte er sich bereits im Alter von zehn Jahren gegen die Schläge durch einen Priester in einer katholischen Schule, die er daraufhin verließ. Dieser Wesenszug, sich gegen Ungerechtigkeiten aufzulehnen und aktiv gegen diese vorzugehen, begleitete ihn sein gesamtes Leben. In jungen Jahren trat er der mitgliederstarken anarcho-syndikalistischen Gewerkschaftsföderation Confederación Nacional del Trabajo (CNT) bei sowie der Anarchistischen Föderation Iberiens, der FAI. Er beteiligte sich an Streiks und an verschiedenen  regionalen Aufständen. Mit dem Putsch der Nationalisten, Militärs und der katholischen Kirche im Juli 1936 begann nicht nur ein Bürgerkrieg, sondern in verschiedenen Regionen Spaniens eine soziale Revolution, von deren Errungenschaften – auch unter Kriegsbedingungen – wir heute noch viel lernen können. Sabaté kämpfte in den anarcho-syndikalistischen Milizen, welche die nummerische Hauptkraft des antifaschistischen Widerstandes bildeten. Durch politische Machtspiele der „antifaschistischen Parteien“ und inkonsequentes, nachsichtiges Handeln anarcho-syndikalistischer Wortführer und Delegierter diesen gegenüber gelangten innerhalb weniger Monate die zuvor bedeutungslosen Parteikommunisten an einflussreiche Stellen innerhalb der antifaschistischen Republik. Die Parteikommunisten zerschlugen hunderte von Arbeiterinnen und Arbeitern selbst gebildete Kollektive und militarisierten den bewaffneten Widerstand. Die Arbeitermilizen wurden in eine traditionelle, hierarchische Armee umgewandelt. An der Spitze dieser Armeeeinheiten standen oftmals stalinistische Offiziere. Diese beabsichtigten die anarcho-syndikalistische und anarchistische Bewegung niederzuschlagen und deren bewaffnete Kolonnen auszumerzen. An verschiedenen Frontabschnitten wurden anarcho-syndikalistische Einheiten von den Stalinisten in aussichtslose Gefechte geschickt und dadurch vernichtet. Nachdem Sabaté einer solchen Tat eines stalinistischen Kommandanten gewahr wurde, rächte er seine gefallenen Genossinnen und Genossen und erschoss den stalinistischen Kommandanten noch an der Front. Nach dem Sieg der Faschisten 1939 ging Sabaté, wie ein Großteil der anarchistischen und anarcho-syndikalistischen Bewegung, in den Untergrund. Zu den Aufgaben der von ihm gebildeten anarchistischen Aktionsgruppen zählten Banküberfälle und „Besuche“ bei faschistischen Großgrundbesitzern um mit dem erbeuteten Geld die Familien von anarchistischen Gefangenen zu unterstützen. An Ort und Stelle wurde oftmals die folgende Erklärung zurückgelassen:<br />
„Wir sind keine Räuber, wir sind Kämpfer des libertären Widerstands. Was wir soeben mitgenommen haben, wird ein wenig dazu beitragen, den verwaisten und elenden Kindern jener Antifaschisten zu essen zu geben, die ihr und euresgleichen erschossen habt. Wir sind Menschen, die niemals um das gebettelt haben und niemals um das betteln werden, was uns gehört.“ 
Durch die schnell ausgeführten Überfälle erhielt er bald den Beinamen „El Quico“, „der Schnelle“.
Aktionen richteten sich zudem gegen faschistische Befehlshaber, wie den Polizeikommissar Quintela in Barcelona. Die Aktionsgruppen Sabatés waren in das anarchistische Widerstandsnetz eingegliedert, welches in Frankreich von emigrierten Angehörigen der CNT und FAI gebildet worden war.  Unter der Arbeiter- und Bauernbevölkerung Spaniens, besonders Kataloniens und der Region um die Pyrenäen, wurden Sabaté und seine Aktionsgruppen schnell als eine Art „Robin Hood“ betrachtet und verehrt. Dem gegenüber standen offene Angriffe seitens führender Anarcho-Syndikalisten der CNT, darunter Federica Montseny, im französischen Exil, die seine Taten auf das schärfste verurteilten und ihn mehrmals in Artikeln der anarcho-syndikalistischen Presse diffamierten und zur Entsolidarisierung mit ihm aufriefen. Doch erfuhren Sabaté und die Aktionsgruppen Sympathie und Unterstützung von einem Großteil der aktiv im Untergrund kämpfenden anarchistischen Genossinnen und Genossen und ebenso von Teilen der Exil-CNT.
<br /><br />
Sabaté setzte seinen bewaffneten Widerstand noch bis 1960 fort. Dann wurde er in einem Feuergefecht in der kleinen katalanischen Stadt Sant Celoni im Alter von 44 Jahren von der franquistischen Polizei erschossen. Noch heute findet dort in jedem Jahr an seinem Todestag eine Gedenkveranstaltung statt.  
<br /><br />
Dass Sabaté überhaupt in deutschsprachigen Gefilden bekannt wurde, ist seinem Biographen und Zeitgenossen Antonjo Tellez zu verdanken. Sein Buch „Sabaté. Stadtguerilla in Spanien nach dem Bürgerkrieg 1945-1960“ erschien 1974. Der Wiener bahoe-books Verlag hat es unter dem Titel „Sabaté. Ein aussergewöhnlicher Guerillero“ (ISBN 978-3-903022-06-5) 2015 neu aufgelegt.
<br /><br />
Erschienen in BUNĂ Nr. 3 - Zeitschrift für Befreiung & Emanzipation – nicht nur in Rumänien",BUNĂ Nr. 3 - Frühjahr 2016,2016-01-20
