Chiara Abastanotti
Afnan Al-Jaderi
Francisco Álvarez
William Andrews
Andrea Aprile
Armutskonferenz
Loreto Aroca
Attac
Vincent Bailly
Nanni Balestrini
Francesco Barilli
John Barker
Nicolás Bautista
Beigewum
Arturo Benvenuti
Jean-Yves Bériou
Julia Billet
Auguste Blanqui
Zaschia Bouzarri
Maurice Brinton
Chester Brown
Os Cangaceiros
Lorena Canottiere
Daniel Casanave
Alfredo Castelli
Céka
Alfons Cervera
Pedro-J. Colombo
Agustín Comotto
Jesús Cossío
Mila Cotlenko
TheReal Crime-Inc
Renato Curcio
Damien Cuvillier
Marcelo D´Salete
Ryszard Dabrowski
Dimitris Dalakoglous
Manuel de-Carli
Arnaud Delalande
Nikolaus Dimmel
Ines Doujak
Aurélien Ducoudray
Vincent Dugomier
Ale Dumbsky
Morten Dürr
Christian Dürr
Walter Ego
Rodrigo Elgueta
Alexandre Elsig
BenoÎt Ers
Éspe
Rob Evans
Thomas Fatzinek
Claire Fauvel
Wera Figner
Georg Fingerlos
Mario Frisetti
Gaet's
Bertrand Galic
Štefan Galič
Antonio García
Guy-Pierre Gautier
Eva Geber
Mario Gomboli
Rudi Gradnitzer
Dave Hann
Monika Helfer
Gord Hill
Sebastian Hofer
Cvetka Hojnik
Lars Hornemann
Prole .Info
Bruno Jasieński
Robert Jurak
Jan Karski
Philipp Katsinas(Hg.)
Adnan Keskin
Jakob Klemencic
Ruth Klüger
Dimitris Koufontinas
Kris
Aintzane Landa
Tatiana Lecomte
Tristan Leoni
David Lester
Paul Lewis
Bicycle Liberation-Front
Éric Liberge
Alexander Lippmann
Verena Loisel
Lucie Lomová
Occupied London#5
Sebastian Lotzer
Emilio Lussu
Martin Lux
Michels Mabel
Julia-Maria Makoschitz
Jannis Mallouchos
Milo Manara
Jesús Marchamalo
Matteo Mastragostino
Andy Merrifield
Karen Messing
Markus Metz
Louise Michel
Dasko Milinovic
Berthold Molden
Jean-David Morvan
Johann Most
Emmanuel Moynot
Salo Muller
Ahmet Muminović
Gaspard Nock
Alfred-J. Noll
Tiburce Oger
Rafael Ortiz
Sevasti Pagania
Richard Parry
Wolfgang Paterno
Jordi Peidro
Ana Penyas
Zoran Petakov
Stéphane Piatzszek
Robert Pichler
Uroš Potocnik
Hana Puchová
Edit Pula
Marijan Pušavec
Christian Rabl
Florian Rainer
Alessandro Ranghiasci
Richard Rashke
Javi Rey
Carlos Reyes
Luis Rossell
Tore Rørbæk
Salva Rubio
Sylvain Savoia
Boris Wiktorowitsch-Sawinkow
Oliver Scheiber
Thomas Schmidinger
Georg Seeßlen
Deborah Sengl
Franc Sever–Franta
Benoist Simmat
Zoran Smiljanić
Ivan Smiljanić
Mikkel Sommer
Jutta Sommerbauer
Doc Sportello
Evelyn Steinthaler
Sergius Stepniak
Marlene Streeruwitz
Arven-Šakti Kralj-Szomi
Bakos Tamás
Antonio Téllez-Solá
Jolanda Terenzio
Thomas Theodoroudis
Alphons Thun
Steve Tilzey
Marek Toman
Alia Trabucco-Zerán
Séverine Tréfouel
Eddy Vaccaro
Paolo Valentini
Jan Valtin
Marcel van-der-Linden
Alfredo Villar
Gregor Wakounig
Josef Weidenholzer
Kalmen Wewryk
Jankiel Wiernik
Daniel Wisser
Aleksandar Zograf
