Chiara,Abastanotti,Zu dieser Autor:in gibt es noch keinen Text.
Afnan,Al-Jaderi,"Afnan Al-Jaderi beschäftigt sich unheimlich gerne mit Farben, Stiften, Pinseln und allem was dazu gehört wenn etwas Schönes entstehen will. Sie ist Illustratorin und hat eine Leidenschaft für Sprachen, weshalb sie Arabistik und Transkulturelle Kommunikation studiert hat."
Francisco,Álvarez,"Francisco Álvarez, geboren 1970 in Gijón (Asturien, Spanien), ist Journalist, Übersetzer und Autor. Nach einigen historischen Sachbüchern veröffentlichte er 2017 diesen Debütroman, der mit dem Premio Xosefa Xovellanos de novela, dem bekanntesten asturischen Literaturpreis, ausgezeichnet wurde."
William,Andrews,"William Andrews ist Autor und Übersetzer, kommt ursprünglich aus Großbritannien und lebt seit 2004 in Japan. 2016 publizierte er Dissenting Japan: A History of Japanese Radicalism and Counterculture, from 1945 to Fukushima. 2018 erscheint seine englische Übersetzung des preisgekrönten Theaterstücks Love’s Whirlpool (??? Ai no Uzu) von Daisuke Miura."
Andrea,Aprile,"Andrea Aprile, geboren 1982, zahlreiche Publikationen als Szenarist und Illustrator."
Armutskonferenz,,"Die ARMUTSKONFERENZ ist ein Netzwerk von über 40 sozialen Organisationen, Bildungs- und Forschungseinrichtungen. Sie thematisiert Hintergründe und Ursachen, Daten und Fakten, Strategien und Maßnahmen gegen Armut und soziale Ausgrenzung in Österreich"
Loreto,Aroca,"Loreto Aroca, geboren in Palma de Mallorca, Illustratorin und Comiczeichnerin."
Attac,,"ATTAC ist eine internationale Bewegung, die sich für eine demokratische und sozial gerechte Gestaltung der globalen Wirtschaft einsetzt."
Vincent,Bailly,"Vincent Bailly, geboren 1967 in Nancy, Kunststudium in Strasbourg, Illustrator und Comiczeichner."
Nanni,Balestrini,"Nanni Balestrini, geboren in Milano, gilt als wichtigster Chronologist der anni di piombo, der Phase des latenten Klassenkrieges im Italien der 1970er Jahre, und veröffentlichte mehrere Romane zu Themen wie Arbeiterautonomie, Jugendrevolte und bewaffneter Kampf in Italien. Als Aktivist der Potere Operaio und später der Autonomia Operaia betrieb er ein Verlagshaus in Mailand mit. Wie viele andere traf ihn die Repression: Am 7. April 1979 kam es zu einer konzentrierten Verhaftungswelle. Auch er stand auf den Fahndungslisten, kann jedoch durch eine Panne der Polizei gewarnt werden. Die Anklage lautet auf „bewaffnete Subversion“ und 19-fachen Mord. Mit Skiern flüchtet er über die Alpen nach Frankreich, wo er bis 1984 im Exil untertauchen kann, dann wird er freigesprochen. Gemeinsam mit Primo Moroni veröffentlichte er die Studie „Die goldene Horde“, ein Geschichtsband und Kompendium zahlreicher Originaltexte aus den 70er Jahren."
Francesco,Barilli,"Francesco Barilli ist Schriftsteller und betreibt die Seite: reti-invisibli.net. Er hat für den Verlag BeccoGiallo unterschiedliche Publikationen redaktionell betreut. Ausserdem ist er Autor von Scuola Diaz (Editions Alegre 2009), Piazza Fontana (zusammen mit Matteo Fenoglio, BeccoGiallo 2009) und Piazza della Loggia (BeccoGiallo 2012)."
John,Barker,"John Barker, lebt in London und Wien, Schriftsteller, Essayist und Performer, konzentriert sich seit den 1970er Jahren auf die theoretische und praktische Kritik in Themenbereichen wie Ökonomie, geopolitischen Dynamiken und der Ausbeutung durch Arbeit. Sein Roman Futures erschien bei PM Press und seine Essays bei Magazinen wie Mute, Telepolis, Adbusters, Capital and Class und Variant."
Nicolás,Bautista,"Nicolás Rodríguez Bautisa, geboren 1950 in Kolumbien, wurde in seinem Dorf in den Bergen von Santander «Nicolacito» gerufen und ist seit 1998 als erster Kommandant der ELN unter dem Alias «Gabino» bekannt. Er war mit 14 Jahren und seit Beginn der ELN in den Reihen der Guerilla."
Beigewum,,"BEIGEWUM ist der Bei­rat für gesellschafts?, wirt­schafts- und umwelt­po­li­ti­sche Alter­na­ti­ven, ein Ver­ein von Sozi­al­wis­sen­schaf­te­rIn­nen aus unter­schied­li­chen Dis­zi­pli­nen, der das Ziel ver­folgt, Ergeb­nis­se kri­ti­scher For­schungs­tä­tig­keit in die lau­fen­de poli­ti­sche Debat­te einzubringen."
Arturo,Benvenuti,"Arturo Benvenuti, geboren im Treviso, Literat, Maler, Kunstkritiker und Forscher. Bis heute kombiniert er sein soziales und politisches Engagement mit der Förderung von Kunst und Fotografie durch Ausstellungen in der ganzen Welt."
Jean-Yves,Bériou,"Jean-Yves Bériou war in den 1970er Jahren an der kommunistischen Zeitschrift Le Voyou beteiligt, die damals, wie Négation, Intervention communiste usw., Teil einer intensiven theoretischen Diskussion war. Mittlerweile lebt er als Dichter und Übersetzter in Barcelona."
Julia,Billet,"Julia Billet, geboren 1961, lebt als Schriftstellerin in Paris. Der der Graphic Novel zugrundeliegende biografische Roman ""La Guerre de Catherine"" erschien 2012."
Auguste,Blanqui,"Auguste Blanqui verbrachte als französischer Revolutionär, Ehrenmitglied der Pariser Kommune, Literat und Barrikadenkämpfer fast 35 Jahre im Kerker, wo er schrieb und studierte."
Zaschia,Bouzarri,Zascha Bouzarri ist an der internationalen Zeitschrift SIC beteiligt.
Maurice,Brinton,"Maurice Brinton schrieb und übersetzte ab den 1960er Jahren für die britische libertär-sozialistische Gruppe Solidarity, beschäftigte sich mit anti-autoritären Strömungen innerhalb der ArbeiterInnenbewegung und nahm an den revolutionären Streiks und Umstürzen seiner Zeit teil, etwa in Belgien, Paris und Portugal und verfasste als Augenzeuge auch Berichte darüber. Er gilt als einer der weitsichtigsten und bekanntesten Theoretiker der Arbeiterautonomie Englands."
Chester,Brown,"Chester Brown, geboren 1960 in Montreal, lebt heute als Comic-Ku?nstler in Toronto. Sein gro?ßter Erfolg Louis Riel wurde fu?r zwei Eisner-Awards nominiert und vom Time Magazine unter die besten 10 Comics des Jahres 2003 gewa?hlt."
Os,Cangaceiros,"Os Cangaceiros bildeten sich aus dem Milieu der gescheiterten Rebellion im Mai 1968 in Frankreich. Sie nahmen sich die Verweigerung der Lohnarbeit zu Herzen und organisierten ihre Leben im Widerstand zu den bestehenden Verhältnissen. Somit standen sie von Beginn an mit einem Fuss im Kriminal. Sie reisten durch ganz Europa und beteiligten sich an den jeweiligen lokalen Revolten der 1970er und Anfang der 1980er Jahre. Mitte der 80er Jahre führten ihre Erfahrungen mit der Justiz und dem Gefängnissystem dazu, eben diese anzugreifen. Die meisten der in diesem Buch abgedruckten Texte stehen im Kontext ihrer Aktivitäten gegen die Gefängnisse. Neben der Sammlung aller wesentlichen Texte folgen am Ende Anschlagserklärungen, die einen Einblick in den vielfältigen und kreativen Aktionismus der Gruppe ermöglichen."
Lorena,Canottiere,"Lorena Canottiere, ist eine der profiliertesten Illustratorinnen und eine der erfolgreichsten Comiczeichnerinnen Italiens, veröffentlicht seit 2010 zu Dadaismus, Spanischem Bürgerkrieg und anderen Themen."
Daniel,Casanave,"Daniel Casanave, Comiczeichner, Schriftsteller und Bühnenbildner, trat zuletzt durch die Comic-Adaption Sapiens von Yuval Noah Harari in Erscheinung."
Alfredo,Castelli,Zu dieser Autor:in gibt es noch keinen Text.
Céka,,"Céka, Musikjournalist, Songwriter und Szenarist von mehr als 30 Comicalben."
Alfons,Cervera,"Alfons Cervera, geboren 1947 in Gestalgar (Valencia), ist Autor von mehr als 20 Werken auf Spanisch und auch auf Katalanisch. Ein wichtiger Teil seiner erza?hlerischen Arbeit ist mit dem historischen Geda?chtnis verbunden. Mehrere seiner Bu?cher wurden in andere Sprachen u?bersetzt, vor allem ins Franzo?sische, wo einige von ihnen Teil des literarischen Kanons in den Schulen sind. Zuletzt erschienen: La noche en que los Beatles llegaron a Barcelona (2018)."
Pedro J.,Colombo,"Pedro J. Colombo, geboren 1978 im spanischen Granollers, zeichnet seit dem 14. Lebensjahr Comics, zahlreiche Veröffentlichungen."
Agustín,Comotto,"Agustín Comotto, geboren in Buenos Aires (Argentinien), flüchtete nach dem Militärputsch 1976 mit seiner Familie nach Spanien, wo er heute als Illustrator und Zeichner tätig ist."
Jesús,Cossío,Zu dieser Autor:in gibt es noch keinen Text.
Mila,Cotlenko,Zu dieser Autor:in gibt es noch keinen Text.
The Real,Crime Inc,Ist eine informelle Autor_innengruppe aus dem literarischen Zwielicht Wiens
Renato,Curcio,"Renato Curcio, geboren in Rom, studierte Soziologie, heiratete Mara Cagol, bevor er als Militanter der Roten Brigaden 22 Jahre in Haft verbrachte."
Damien,Cuvillier,"Damien Cuvillier ist ein junger, belgischer Comicku?nstler, zahlreiche Vero?ffentlichungen."
Marcelo,D´Salete,"Marcelo D´Salete ist Illustrator, Lehrer und Comic-Autor."
Ryszard,Dabrowski,"Ryszard Dabrowski, Graphiker und Autor, geboren in Paris, lebt in Poznan und ist Polens bekanntester Underground-Punk-Comic- Zeichner."
Dimitris,Dalakoglous,"Geboren in Athen. Übersetzte zahllose Texte zur Revolte in Griechenland 2008 auf dem Blog Occupied London. Publizierte zu Urbanismus, zur Krise in Griechenland und ist Professor für Sozialantrophologie in Amsterdam."
Manuel,de Carli,"Manuel de carli wurde in Trento geboren und lebt in Rom. Seit 1996 zeichnet er für zahlreiche Comic-Magazine. Er hat an einigen Publikationen mitgearbeitet, unter anderem: Fortezza Europa (Rabbit 2006), Resistenze (BeccoGiallo 2007). Er ist Autor von Intimo Cucito (Centro Fumetto Andrea Pazienza 2007) und zusammen mit Alessandro di Virgilio von Thyssenkrupp (BeccoGiallo 2009) Manuel de Carli ist Teil des Kollektivs Fumetti partigiani."
Arnaud,Delalande,"Arnaud Delalande, geboren 1971 in Herblay-sur-Seine, Autor von mehr als 30 Comics und zahlreichen historischen Romanen."
Nikolaus,Dimmel,"Nikolaus Dimmel ist Jurist, Soziologe und Politikwissenschafter, Experte in Sozialwirtschaft (Soziale Dienste), Sozialverwaltung und Sozialpolitik."
Ines,Doujak,"Ines Doujak, geboren 1959 in Klagenfurt, ist feministische Künstlerin, die mit Installationen, Photographie und Konzeptkunst arbeitet. Teilnahmen an zahlreichen Ausstellungen, etwa Documenta 12 in Kassel, «The Beast and the Sovereign» im MACBA in Barcelona, und weiteren in Zürich, London, Montréal, Wien und Grafenegg. Zuletzt untersuchte sie Textilien und ihre globale Geschichte, die durch kulturelle, Klassen- und Geschlechterkonflikte gekennzeichnet ist und publizierte gemeinsam mit Oliver Ressler zu Utopien (Utopien Pulse – Flares in the Darkroom, Pluto Press 2015)."
Aurélien,Ducoudray,"Aurélien Ducoudray, geboren 1973 in Chateauroux (F), Journalist, Fotograf und Comicszenarist. Zahlreiche Veröffentlichungen."
